db,file,raw_nfiq2,raw_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,delta_p1,delta_p2,delta_p6,delta_final
DB4_B,105_1.tif,19.0,,30.0,,46.0,,44.0,,11.0,16.0,-2.0,25.0
DB4_B,105_2.tif,24.0,,40.0,,46.0,,42.0,,16.0,6.0,-4.0,18.0
DB4_B,105_3.tif,29.0,,36.0,,49.0,,55.0,,7.0,13.0,6.0,26.0
DB4_B,105_4.tif,27.0,,35.0,,48.0,,45.0,,8.0,13.0,-3.0,18.0
DB4_B,105_5.tif,33.0,,45.0,,46.0,,40.0,,12.0,1.0,-6.0,7.0
DB4_B,105_6.tif,26.0,,46.0,,43.0,,51.0,,20.0,-3.0,8.0,25.0
DB4_B,105_7.tif,29.0,,30.0,,53.0,,51.0,,1.0,23.0,-2.0,22.0
DB4_B,105_8.tif,30.0,,37.0,,54.0,,48.0,,7.0,17.0,-6.0,18.0
DB4_B,106_1.tif,14.0,,36.0,,41.0,,45.0,,22.0,5.0,4.0,31.0
DB4_B,106_2.tif,24.0,,34.0,,48.0,,43.0,,10.0,14.0,-5.0,19.0
DB4_B,106_3.tif,24.0,,37.0,,47.0,,42.0,,13.0,10.0,-5.0,18.0
DB4_B,106_4.tif,37.0,,40.0,,46.0,,51.0,,3.0,6.0,5.0,14.0
DB4_B,106_5.tif,19.0,,32.0,,34.0,,51.0,,13.0,2.0,17.0,32.0
DB4_B,106_6.tif,23.0,,41.0,,39.0,,42.0,,18.0,-2.0,3.0,19.0
DB4_B,106_7.tif,26.0,,46.0,,43.0,,37.0,,20.0,-3.0,-6.0,11.0
DB4_B,106_8.tif,28.0,,39.0,,44.0,,50.0,,11.0,5.0,6.0,22.0
DB4_B,107_1.tif,31.0,,48.0,,63.0,,62.0,,17.0,15.0,-1.0,31.0
DB4_B,107_2.tif,33.0,,49.0,,57.0,,51.0,,16.0,8.0,-6.0,18.0
DB4_B,107_3.tif,32.0,,48.0,,50.0,,52.0,,16.0,2.0,2.0,20.0
DB4_B,107_4.tif,26.0,,51.0,,50.0,,57.0,,25.0,-1.0,7.0,31.0
DB4_B,107_5.tif,46.0,,41.0,,52.0,,55.0,,-5.0,11.0,3.0,9.0
DB4_B,107_6.tif,47.0,,48.0,,63.0,,49.0,,1.0,15.0,-14.0,2.0
DB4_B,107_7.tif,18.0,,27.0,,37.0,,44.0,,9.0,10.0,7.0,26.0
DB4_B,107_8.tif,18.0,,40.0,,61.0,,49.0,,22.0,21.0,-12.0,31.0
DB4_B,108_1.tif,31.0,,27.0,,43.0,,35.0,,-4.0,16.0,-8.0,4.0
DB4_B,108_2.tif,23.0,,33.0,,27.0,,37.0,,10.0,-6.0,10.0,14.0
DB4_B,108_3.tif,8.0,,5.0,,24.0,,27.0,,-3.0,19.0,3.0,19.0
DB4_B,108_4.tif,26.0,,35.0,,46.0,,45.0,,9.0,11.0,-1.0,19.0
DB4_B,108_5.tif,11.0,,22.0,,30.0,,44.0,,11.0,8.0,14.0,33.0
DB4_B,108_6.tif,5.0,,32.0,,33.0,,34.0,,27.0,1.0,1.0,29.0
DB4_B,108_7.tif,28.0,,43.0,,40.0,,32.0,,15.0,-3.0,-8.0,4.0
DB4_B,108_8.tif,43.0,,37.0,,44.0,,32.0,,-6.0,7.0,-12.0,-11.0
DB4_B,109_1.tif,12.0,,22.0,,45.0,,44.0,,10.0,23.0,-1.0,32.0
DB4_B,109_2.tif,19.0,,40.0,,50.0,,40.0,,21.0,10.0,-10.0,21.0
DB4_B,109_3.tif,24.0,,28.0,,40.0,,35.0,,4.0,12.0,-5.0,11.0
DB4_B,109_4.tif,5.0,,21.0,,28.0,,29.0,,16.0,7.0,1.0,24.0
DB4_B,109_5.tif,24.0,,39.0,,44.0,,54.0,,15.0,5.0,10.0,30.0
DB4_B,109_6.tif,9.0,,24.0,,41.0,,39.0,,15.0,17.0,-2.0,30.0
DB4_B,109_7.tif,14.0,,35.0,,30.0,,37.0,,21.0,-5.0,7.0,23.0
DB4_B,109_8.tif,31.0,,38.0,,47.0,,39.0,,7.0,9.0,-8.0,8.0
DB4_B,110_1.tif,5.0,,21.0,,36.0,,35.0,,16.0,15.0,-1.0,30.0
DB4_B,110_2.tif,12.0,,30.0,,26.0,,51.0,,18.0,-4.0,25.0,39.0
DB4_B,110_3.tif,3.0,,23.0,,23.0,,26.0,,20.0,0.0,3.0,23.0
DB4_B,110_4.tif,3.0,,8.0,,14.0,,25.0,,5.0,6.0,11.0,22.0
DB4_B,110_5.tif,5.0,,16.0,,25.0,,37.0,,11.0,9.0,12.0,32.0
DB4_B,110_6.tif,8.0,,26.0,,26.0,,37.0,,18.0,0.0,11.0,29.0
DB4_B,110_7.tif,15.0,,45.0,,40.0,,46.0,,30.0,-5.0,6.0,31.0
DB4_B,110_8.tif,22.0,,34.0,,50.0,,46.0,,12.0,16.0,-4.0,24.0
